Race,Target,Feature,Model,Mean_Rank,Std_Rank,Min_Rank,Max_Rank,Top_3_Freq
Non-Hispanic White,Has_Hypertension,Sugar,RF,13.2,1.32664991614216,11,16,0.0
Non-Hispanic White,Has_Hypertension,Fiber,RF,11.8,1.2489995996796797,11,15,0.0
Non-Hispanic White,Has_Hypertension,Protein,RF,13.6,1.8547236990991407,11,18,0.0
Non-Hispanic White,Has_Hypertension,Ever_Smoked,RF,7.9,0.8306623862918076,7,9,0.0
Non-Hispanic White,Has_Hypertension,Smoke_Freq,RF,22.0,0.0,22,22,0.0
Non-Hispanic White,Has_Hypertension,Alc_Freq,RF,13.0,1.8439088914585775,11,17,0.0
Non-Hispanic White,Has_Hypertension,Alc_Amt,RF,21.0,0.0,21,21,0.0
Non-Hispanic White,Has_Hypertension,HbA1c,RF,4.8,0.39999999999999997,4,5,0.0
Non-Hispanic White,Has_Hypertension,Cholesterol,RF,8.4,0.8,7,9,0.0
Non-Hispanic White,Has_Hypertension,HDL,RF,10.0,0.0,10,10,0.0
Non-Hispanic White,Has_Hypertension,Sys_BP,RF,1.8,0.4,1,2,1.0
Non-Hispanic White,Has_Hypertension,Dia_BP,RF,7.7,0.6403124237432849,7,9,0.0
Other Hispanic,Has_Hypertension,Gender,RF,20.0,0.0,20,20,0.0
Other Hispanic,Has_Hypertension,Race,RF,23.0,0.0,23,23,0.0
Other Hispanic,Has_Hypertension,Income_Ratio,RF,4.8,0.39999999999999997,4,5,0.0
Other Hispanic,Has_Hypertension,BMI,RF,4.2,0.39999999999999997,4,5,0.0
Other Hispanic,Has_Hypertension,Mod_Activity,RF,1.7,0.9,1,3,1.0
Other Hispanic,Has_Hypertension,Vig_Activity,RF,7.4,0.4898979485566356,7,8,0.0
Other Hispanic,Has_Hypertension,Calories,RF,16.0,2.0,13,19,0.0
Other Hispanic,Has_Hypertension,Sodium,RF,15.6,1.8547236990991407,12,19,0.0
Other Hispanic,Has_Hypertension,Carbs,RF,13.8,2.2271057451320084,10,18,0.0
Other Hispanic,Has_Hypertension,Fat,RF,17.0,1.6733200530681511,13,19,0.0
Other Hispanic,Has_Hypertension,Sat_Fat,RF,14.9,2.7,12,19,0.0
Other Hispanic,Has_Hypertension,Sugar,RF,16.3,2.0024984394500787,13,19,0.0
Other Hispanic,Has_Hypertension,Fiber,RF,15.0,2.449489742783178,12,19,0.0
Other Hispanic,Has_Hypertension,Protein,RF,15.2,2.1354156504062622,12,19,0.0
Other Hispanic,Has_Hypertension,Ever_Smoked,RF,7.3,1.004987562112089,6,9,0.0
