Race,Target,Feature,LR_Mean_Rank,LR_Std_Rank,RF_Mean_Rank,RF_Std_Rank,Rank_Diff,LR_Top_3_Freq,RF_Top_3_Freq
Non-Hispanic Black,Has_Hypertension,Sugar,8.1,2.1656407827707715,15.7,1.2688577540449522,7.6,0.0,0.0
Non-Hispanic Black,Has_Hypertension,Dia_BP,14.1,3.1764760348537187,7.0,0.0,7.1,0.0,0.0
Non-Hispanic Black,Has_Hypertension,Mod_Activity,7.8,2.1354156504062622,1.0,0.0,6.8,0.0,1.0
Non-Hispanic Black,Has_Hypertension,Ever_Smoked,2.6,0.8,8.2,0.6,5.6,0.8,0.0
Non-Hispanic Black,Has_Hypertension,Calories,12.9,6.7446274915669,17.7,1.2688577540449522,4.799999999999999,0.2,0.0
Non-Hispanic Black,Has_Hypertension,Fat,13.9,4.109744517606904,18.4,1.1135528725660042,4.499999999999998,0.0,0.0
Non-Hispanic Black,Has_Hypertension,Alc_Amt,17.4,1.7435595774162695,21.7,0.9,4.300000000000001,0.0,0.0
Non-Hispanic Black,Has_Hypertension,Protein,18.1,4.437341546466758,14.3,1.8466185312619388,3.8000000000000007,0.0,0.0
Non-Hispanic Black,Has_Hypertension,Smoke_Freq,15.2,2.0396078054371136,11.4,0.66332495807108,3.799999999999999,0.0,0.0
Non-Hispanic Black,Has_Hypertension,Fiber,12.7,2.9,14.7,1.7916472867168916,2.0,0.0,0.0
Non-Hispanic Black,Has_Hypertension,HDL,11.9,2.1656407827707715,10.0,0.6324555320336759,1.9000000000000004,0.0,0.0
Non-Hispanic Black,Has_Hypertension,BMI,3.2,0.8717797887081347,4.9,1.0440306508910548,1.7000000000000002,0.7,0.1
Non-Hispanic Black,Has_Hypertension,Sys_BP,1.0,0.0,2.0,0.0,1.0,1.0,1.0
Non-Hispanic Black,Has_Hypertension,HbA1c,5.3,0.9,4.5,1.02469507659596,0.7999999999999998,0.0,0.2
Non-Hispanic Black,Has_Hypertension,Sat_Fat,17.3,3.8742741255621036,17.5,2.1095023109728985,0.1999999999999993,0.0,0.0
Non-Hispanic Black,Has_Hypertension,Race,23.0,0.0,23.0,0.0,0.0,0.0,0.0
Non-Hispanic White,Has_Diabetes,Calories,7.7,5.780138406647371,18.7,0.45825756949558394,11.0,0.3,0.0
Non-Hispanic White,Has_Diabetes,Mod_Activity,12.3,2.3685438564654024,2.1,0.3,10.200000000000001,0.0,1.0
Non-Hispanic White,Has_Diabetes,Alc_Amt,13.1,7.993122043357026,21.8,0.4,8.700000000000001,0.3,0.0
Non-Hispanic White,Has_Diabetes,Income_Ratio,12.0,1.6733200530681511,3.9,0.3,8.1,0.0,0.1
Non-Hispanic White,Has_Diabetes,Smoke_Freq,13.9,2.5865034312755126,21.2,0.4,7.299999999999999,0.0,0.0
Non-Hispanic White,Has_Diabetes,Alc_Freq,20.5,1.8027756377319946,14.2,2.2715633383201093,6.300000000000001,0.0,0.0
Non-Hispanic White,Has_Diabetes,HDL,13.1,1.9209372712298547,7.0,0.0,6.1,0.0,0.0
Non-Hispanic White,Has_Diabetes,Ever_Smoked,4.6,1.624807680927192,9.9,0.7,5.300000000000001,0.3,0.0
Non-Hispanic White,Has_Diabetes,Sugar,6.5,1.746424919657298,11.3,1.676305461424021,4.800000000000001,0.0,0.0
Non-Hispanic White,Has_Diabetes,Sodium,19.1,2.981610303175115,14.4,2.1071307505705477,4.700000000000001,0.0,0.0
Non-Hispanic White,Has_Diabetes,Sat_Fat,18.0,1.3416407864998738,14.8,1.7776388834631178,3.1999999999999993,0.0,0.0
Non-Hispanic White,Has_Diabetes,BMI,5.2,1.16619037896906,3.0,0.4472135954999579,2.2,0.0,0.9
Non-Hispanic White,Has_Diabetes,Cholesterol,4.1,1.972308292331602,5.9,0.3,1.8000000000000007,0.6,0.0
Non-Hispanic White,Has_Diabetes,Gender,18.4,2.4166091947189146,20.0,0.0,1.6000000000000014,0.0,0.0
Non-Hispanic White,Has_Diabetes,Dia_BP,7.8,1.4000000000000001,9.4,0.6633249580710799,1.6000000000000005,0.0,0.0
Non-Hispanic White,Has_Diabetes,Carbs,15.7,4.405678154382138,14.5,2.202271554554524,1.1999999999999993,0.0,0.0
Non-Hispanic White,Has_Diabetes,Sys_BP,9.2,1.32664991614216,8.0,0.0,1.1999999999999993,0.0,0.0
Non-Hispanic White,Has_Diabetes,Vig_Activity,4.0,2.1908902300206643,5.1,0.3,1.0999999999999996,0.5,0.0
Non-Hispanic White,Has_Diabetes,Protein,15.4,3.0397368307141326,14.4,1.6852299546352716,1.0,0.0,0.0
Non-Hispanic White,Has_Diabetes,Fat,15.4,5.219195340279955,16.2,1.98997487421324,0.7999999999999989,0.0,0.0
Non-Hispanic White,Has_Diabetes,Fiber,15.7,2.6851443164195103,16.2,1.8330302779823362,0.5,0.0,0.0
Non-Hispanic White,Has_Diabetes,HbA1c,1.3,0.45825756949558405,1.0,0.0,0.30000000000000004,1.0,1.0
Non-Hispanic White,Has_Diabetes,Race,23.0,0.0,23.0,0.0,0.0,0.0,0.0
Non-Hispanic White,Has_Hypertension,Calories,3.4,0.48989794855663565,18.8,0.4,15.4,0.6,0.0
