Race,Target,Feature,Mean_Rank,Std_Rank,Min_Rank,Max_Rank,Top_3_Freq
Non-Hispanic White,Has_Diabetes,Fiber,15.7,2.6851443164195103,11,19,0.0
Non-Hispanic White,Has_Diabetes,Sat_Fat,18.0,1.3416407864998738,17,21,0.0
Non-Hispanic White,Has_Diabetes,Gender,18.4,2.4166091947189146,14,22,0.0
Non-Hispanic White,Has_Diabetes,Sodium,19.1,2.981610303175115,14,22,0.0
Non-Hispanic White,Has_Diabetes,Alc_Freq,20.5,1.8027756377319943,16,22,0.0
Non-Hispanic White,Has_Diabetes,Race,23.0,0.0,23,23,0.0
Non-Hispanic White,Has_Hypertension,Sys_BP,1.0,0.0,1,1,1.0
Non-Hispanic White,Has_Hypertension,BMI,2.0,0.0,2,2,1.0
Non-Hispanic White,Has_Hypertension,Calories,3.4,0.4898979485566356,3,4,0.6
Non-Hispanic White,Has_Hypertension,Ever_Smoked,3.8,0.7483314773547882,3,5,0.4
Non-Hispanic White,Has_Hypertension,HbA1c,5.3,0.6403124237432849,4,6,0.0
Non-Hispanic White,Has_Hypertension,Carbs,5.5,0.6708203932499369,4,6,0.0
Non-Hispanic White,Has_Hypertension,Cholesterol,7.5,0.5,7,8,0.0
Non-Hispanic White,Has_Hypertension,Dia_BP,8.3,1.1874342087037917,7,10,0.0
Non-Hispanic White,Has_Hypertension,Fat,9.3,1.1,7,11,0.0
Non-Hispanic White,Has_Hypertension,Protein,9.3,1.1874342087037917,7,12,0.0
Non-Hispanic White,Has_Hypertension,Sugar,12.3,1.9,10,17,0.0
Non-Hispanic White,Has_Hypertension,HDL,12.7,1.1874342087037917,11,15,0.0
Non-Hispanic White,Has_Hypertension,Smoke_Freq,13.7,2.5317977802344327,11,20,0.0
Non-Hispanic White,Has_Hypertension,Sedentary_Behavior,15.4,2.0099751242241783,13,21,0.0
Non-Hispanic White,Has_Hypertension,Alc_Freq,15.6,2.374868417407584,12,19,0.0
Non-Hispanic White,Has_Hypertension,Fiber,16.1,3.269556544854363,11,22,0.0
Non-Hispanic White,Has_Hypertension,Sodium,16.7,2.685144316419511,13,22,0.0
Non-Hispanic White,Has_Hypertension,Sedentary_Behavior,18.4,4.2708313008125245,9,21,0.0
Non-Hispanic White,Has_Hypertension,Income_Ratio,18.5,1.688194301613413,16,22,0.0
Non-Hispanic White,Has_Hypertension,Gender,19.0,1.6733200530681511,17,22,0.0
Non-Hispanic White,Has_Hypertension,Sat_Fat,19.2,1.8867962264113207,16,22,0.0
Non-Hispanic White,Has_Hypertension,Alc_Amt,20.0,2.4083189157584592,16,22,0.0
Non-Hispanic White,Has_Hypertension,Race,23.0,0.0,23,23,0.0
Other Hispanic,Has_Diabetes,HbA1c,1.0,0.0,1,1,1.0
Other Hispanic,Has_Diabetes,BMI,3.7,0.7810249675906654,3,5,0.5
Other Hispanic,Has_Diabetes,Alc_Amt,6.5,5.6258332716140815,2,17,0.6
Other Hispanic,Has_Diabetes,Dia_BP,7.8,3.4,4,13,0.0
Other Hispanic,Has_Diabetes,Ever_Smoked,8.0,3.1937438845342623,2,11,0.2
Other Hispanic,Has_Diabetes,Sys_BP,8.3,3.606937759374287,4,15,0.0
Other Hispanic,Has_Diabetes,Fat,8.5,5.5901699437494745,2,18,0.3
Other Hispanic,Has_Diabetes,Gender,8.7,4.124318125460256,4,18,0.0
Other Hispanic,Has_Diabetes,Sat_Fat,10.1,4.060788100849391,4,16,0.0
Other Hispanic,Has_Diabetes,Carbs,10.8,4.686149805543993,3,18,0.1
Other Hispanic,Has_Diabetes,Smoke_Freq,10.9,4.036087214122113,5,16,0.0
Other Hispanic,Has_Diabetes,Cholesterol,10.9,2.981610303175115,6,16,0.0
Other Hispanic,Has_Diabetes,HDL,11.0,5.079370039680118,4,20,0.0
Other Hispanic,Has_Diabetes,Alc_Freq,11.1,2.3853720883753127,5,14,0.0
Other Hispanic,Has_Diabetes,Calories,11.6,5.180733538795447,3,21,0.1
Other Hispanic,Has_Diabetes,Sugar,16.1,4.1340053217188775,7,22,0.0
