Race,Target,Feature,Readable_Feature,Coefficient,Abs_Coefficient,ROC_AUC,PR_AUC,N_Samples,Rank
Other/Multi-racial,Has_Diabetes,SMQ040,Smoke_Freq,-0.1066291602106864,0.1066291602106864,0.8883390591966175,0.7444483696050581,948,15.0
Other/Multi-racial,Has_Diabetes,ALQ121,Alc_Freq,-0.1378537868803329,0.1378537868803329,0.8883390591966175,0.7444483696050581,948,13.0
Other/Multi-racial,Has_Diabetes,ALQ130,Alc_Amt,0.057972207006815706,0.057972207006815706,0.8883390591966175,0.7444483696050581,948,18.0
Other/Multi-racial,Has_Diabetes,LBXGH,HbA1c,3.195558875960664,3.195558875960664,0.8883390591966175,0.7444483696050581,948,1.0
Other/Multi-racial,Has_Diabetes,LBXTC,Cholesterol,-0.2972379055514393,0.2972379055514393,0.8883390591966175,0.7444483696050581,948,8.0
Other/Multi-racial,Has_Diabetes,LBDHDD,HDL,-0.3083218422473511,0.3083218422473511,0.8883390591966175,0.7444483696050581,948,6.0
Other/Multi-racial,Has_Diabetes,BPXOSY1,Sys_BP,0.13200891132793752,0.13200891132793752,0.8883390591966175,0.7444483696050581,948,14.0
Other/Multi-racial,Has_Diabetes,BPXODI1,Dia_BP,-0.011467989129437105,0.011467989129437105,0.8883390591966175,0.7444483696050581,948,20.0
Mexican American,Has_Hypertension,RIAGENDR,Gender,0.06494262718356385,0.06494262718356385,0.8265282131661442,0.5172691704839404,1117,19.0
Mexican American,Has_Hypertension,INDFMPIR,Income_Ratio,0.15390297886942508,0.15390297886942508,0.8265282131661442,0.5172691704839404,1117,14.0
Mexican American,Has_Hypertension,BMXBMI,BMI,0.7091103585084053,0.7091103585084053,0.8265282131661442,0.5172691704839404,1117,3.0
Mexican American,Has_Hypertension,PAD680,Mod_Activity,0.1654875349409454,0.1654875349409454,0.8265282131661442,0.5172691704839404,1117,12.0
Mexican American,Has_Hypertension,PAD800,Vig_Activity,-0.09069013488989397,0.09069013488989397,0.8265282131661442,0.5172691704839404,1117,17.0
Mexican American,Has_Hypertension,DR1TKCAL,Calories,-1.0151361530941578,1.0151361530941578,0.8265282131661442,0.5172691704839404,1117,1.0
Mexican American,Has_Hypertension,DR1TSODI,Sodium,0.4653181044660035,0.4653181044660035,0.8265282131661442,0.5172691704839404,1117,5.0
Mexican American,Has_Hypertension,DR1TCARB,Carbs,-0.07907060169055166,0.07907060169055166,0.8265282131661442,0.5172691704839404,1117,18.0
Mexican American,Has_Hypertension,DR1TTFAT,Fat,0.63864049249429,0.63864049249429,0.8265282131661442,0.5172691704839404,1117,4.0
Mexican American,Has_Hypertension,DR1TSFAT,Sat_Fat,-0.1639152485775798,0.1639152485775798,0.8265282131661442,0.5172691704839404,1117,13.0
Mexican American,Has_Hypertension,DR1TSUGR,Sugar,0.18417196915263162,0.18417196915263162,0.8265282131661442,0.5172691704839404,1117,11.0
Mexican American,Has_Hypertension,DR1TFIBE,Fiber,0.23880086915265353,0.23880086915265353,0.8265282131661442,0.5172691704839404,1117,9.0
Mexican American,Has_Hypertension,DR1TPROT,Protein,-0.1330657337640303,0.1330657337640303,0.8265282131661442,0.5172691704839404,1117,15.0
Mexican American,Has_Hypertension,SMQ020,Ever_Smoked,-0.3644402543955147,0.3644402543955147,0.8265282131661442,0.5172691704839404,1117,6.0
Mexican American,Has_Hypertension,SMQ040,Smoke_Freq,-0.020312069546464938,0.020312069546464938,0.8265282131661442,0.5172691704839404,1117,21.0
Mexican American,Has_Hypertension,ALQ121,Alc_Freq,0.021129372052916824,0.021129372052916824,0.8265282131661442,0.5172691704839404,1117,20.0
